Time,Exercise,Reps,+lb,RIR,Rest (after set),
Mar-23 21:33,Preacher Curls,7,85,,,
Mar-24 20:44,Bench Press,5,155,,,
Mar-24 20:49,Bench Press,7,140,,,
Mar-24 20:53,Bench Press,6,140,,,
Mar-24 20:58,Bench Press,7,140,,,
Mar-24 21:02,Machine Chest Press,9,60,,,
Mar-24 21:06,Machine Chest Press,8,60,,,
Mar-24 21:10,Machine Chest Press,9,60,,,
Mar-24 21:12,DB Lateral Raise,6,20,,,
Mar-24 21:14,DB Lateral Raise,12,25,,,
Mar-24 21:17,DB Lateral Raise,12,25,,,
Mar-24 21:22,DB Lateral Raise,11,25,,,
Mar-24 21:23,Tricep Cable Extension,11,72.5,,,
Mar-24 21:26,Tricep Cable Extension,10,72.5,,,
Mar-24 21:29,Tricep Cable Extension,9,72.2,,,
Mar-26 19:30,Assisted Pull-ups,7,-100,,,
Mar-26 19:34,Assisted Pull-ups,7,-100,,,
Mar-26 19:39,Assisted Pull-ups,6,-100,,,
Mar-26 19:43,Assisted Pull-ups,6,-100,,,
Mar-26 19:47,Machine Front Pull Down,8,85,,,
Mar-26 19:51,Machine Front Pull Down,7,85,,,
Mar-26 19:55,Machine Front Pull Down,10,85,,,
Mar-26 20:00,BB Bicep Curls,8,80,,,
Mar-26 20:04,BB Bicep Curls,8,80,,,
Mar-26 20:08,BB Bicep Curls,7,80,,,
Mar-27 21:26,Bench Press,7,140,,,
Mar-27 21:31,Bench Press,8,140,,,
Mar-27 21:35,Bench Press,7,140,,,
Mar-27 21:40,Bench Press,6,140,,,
Mar-27 21:43,Cable Flyes,12,70,,,
Mar-27 21:48,Cable Flyes,13,75,,,
Mar-27 21:52,Cable Flyes,12,75,,,
Mar-27 21:55,DB Lateral Raise,12,25,,,
Mar-27 21:57,DB Lateral Raise,13,25,,,
Mar-27 22:02,DB Lateral Raise,12,25,,,
Mar-27 22:04,Tricep Cable Extension,11,80,,,
Mar-27 22:07,Tricep Cable Extension,10,80,,,
Mar-27 22:12,Tricep Cable Extension,8,80,,,
Mar-30 20:43,Assisted Pull-ups,8,-100,,,
Mar-30 20:47,Assisted Pull-ups,7,-100,,,
Mar-30 20:52,Assisted Pull-ups,7,-100,,,
Mar-30 20:56,Assisted Pull-ups,6,-100,,,
Mar-30 20:59,Machine Front Pull Down,9,85,,,
Mar-30 21:02,Machine Front Pull Down,9,85,,,
Mar-30 21:06,Machine Front Pull Down,7,85,,,
Mar-30 21:10,Cable Rows (Close Grip),10,120,,,
Mar-30 21:14,Cable Rows (Close Grip),10,120,,,
Mar-30 21:19,Cable Rows (Close Grip),7,120,,,
Mar-30 21:22,BB Bicep Curls,8,80,,,
Mar-30 21:26,BB Bicep Curls,6,80,,,
Apr-07 21:08,Bench Press,4,135,,,
Apr-07 21:09,Bench Press,8,155,,,
Apr-07 21:14,Bench Press,6,155,,,
Apr-07 21:20,Bench Press,5,155,,,
Apr-07 21:25,Bench Press,4,155,,,
Apr-07 21:28,Machine Flyes,12,145,,,
Apr-07 21:32,Machine Flyes,10,145,,,
Apr-07 21:36,Machine Flyes,8,145,,,
Apr-07 21:38,Tricep Cable Extension,12,80,,,
Apr-07 21:42,Tricep Cable Extension,12,80,,,
Apr-07 21:45,Tricep Cable Extension,7,80,,,
Apr-07 21:46,DB Lateral Raise,13,25,,,
Apr-07 21:50,DB Lateral Raise,14,25,,,
Apr-07 21:54,DB Lateral Raise,12,25,,,
Apr-09 20:59,Assisted Pull-ups,7,-100,,,
Apr-09 21:05,Assisted Pull-ups,7,-100,,,
Apr-09 21:10,Assisted Pull-ups,7,-100,,,
Apr-09 21:15,Assisted Pull-ups,5,-100,,,
Apr-09 21:18,Machine Front Pull Down,10,85,,,
Apr-09 21:22,Machine Front Pull Down,10,85,,,
Apr-09 21:26,Machine Front Pull Down,9,85,,,
Apr-09 21:30,Machine Rows,10,80,,,
Apr-09 21:34,Machine Rows,8,80,,,
Apr-09 21:38,Machine Rows,8,80,,,
Apr-09 21:42,BB Bicep Curls,8,80,,,
Apr-09 21:46,BB Bicep Curls,7,80,,,
Apr-14 21:24,Bench Press,4,165,,,
Apr-14 21:28,Bench Press,7,150,,,
Apr-14 21:32,Bench Press,6,150,,,
Apr-14 21:37,Bench Press,6,150,,,
Apr-14 21:40,Cable Flyes,12,75,,,
Apr-14 21:45,Cable Flyes,10,80,,,
Apr-14 21:49,Cable Flyes,8,80,,,
Apr-14 21:52,DB Lateral Raise,15,25,,,
Apr-14 21:55,DB Lateral Raise,16,25,,,
Apr-14 21:59,DB Lateral Raise,10,25,,,
Apr-14 22:02,Tricep Cable Extension,12,80,,,
Apr-14 22:06,Tricep Cable Extension,10,80,,,
Apr-14 22:09,Tricep Cable Extension,8,80,,,
Apr-16 21:14,Assisted Pull-ups,8,-100,,,
Apr-16 21:18,Assisted Pull-ups,7,-90,,,
Apr-16 21:22,Assisted Pull-ups,5,-90,,,
Apr-16 21:28,Assisted Pull-ups,4,-90,,,
Apr-16 21:30,Machine Front Pull Down,9,90,,,
Apr-16 21:34,Machine Front Pull Down,9,90,,,
Apr-16 21:39,Machine Front Pull Down,7,90,,,
Apr-16 21:43,Machine Rows,7,85,,,
Apr-16 21:47,Machine Rows,7,80,,,
Apr-16 21:51,Machine Rows,6,80,,,
Apr-16 21:55,BB Bicep Curls,8,80,,,
Apr-16 21:59,BB Bicep Curls,8,80,,,
Apr-17 21:39,Bench Press,8,155,,,
Apr-17 21:44,Bench Press,7,155,,,
Apr-17 21:48,Bench Press,7,155,,,
Apr-17 21:52,Bench Press,6,155,,,
Apr-17 21:56,Cable Flyes,12,75,,,
Apr-17 22:00,Cable Flyes,8,80,,,Cable length reduced
Apr-17 22:04,Cable Flyes,7,80,,,
Apr-17 22:06,DB Lateral Raise,10,30,,,
Apr-17 22:08,DB Lateral Raise,9,30,,,
Apr-17 22:14,DB Lateral Raise,10,30,,,
